"","CNPJ_CIA","DT_REFER","ID_DOC","VERSAO","stock.type","qtd.issue"
"1","00.000.000/0001-91",2021-01-01,105911,2,"ON",2865417926.37418
"2","00.000.208/0001-00",2021-01-01,105792,2,"ON",279949523.809524
"3","00.001.180/0001-26",2021-01-01,105907,2,"ON",1288842580.69816
"4","00.070.698/0001-11",2021-01-01,105826,2,"ON",7184178.46879241
"5","00.192.769/0001-59",2021-01-01,105168,1,"ON",0
"6","00.272.185/0001-93",2021-01-01,105336,1,"ON",0
"7","00.336.701/0001-04",2021-01-01,105072,1,"ON",49460600.5750186
"8","00.359.742/0001-08",2021-01-01,105315,1,"ON",20898994.593029
"9","00.383.281/0001-09",2021-01-01,105723,2,"ON",0
"10","00.389.481/0001-79",2021-01-01,105304,1,"ON",0
"11","00.416.968/0001-01",2021-01-01,105939,2,"ON",1468340572.03732
"12","00.545.378/0001-70",2021-01-01,105553,2,"ON",29188116
"13","00.622.416/0001-41",2021-01-01,105128,1,"ON",0
"14","00.644.907/0001-93",2021-01-01,105249,1,"ON",786473019.163082
"15","00.743.065/0001-27",2021-01-01,104808,1,"ON",0
"16","00.776.574/0001-56",2021-01-01,105519,1,"ON",560085758.313518
"17","00.864.214/0001-06",2021-01-01,105578,1,"ON",755945335.144928
"18","00.897.864/0001-58",2021-01-01,104591,2,"ON",2e+05
"19","00.924.429/0001-75",2021-01-01,105056,1,"ON",129411764.705882
"20","00.938.574/0001-05",2021-01-01,105313,1,"ON",48786
"21","00.974.211/0001-25",2021-01-01,105382,1,"ON",0
"22","00.979.969/0001-56",2021-01-01,103284,1,"ON",0
"23","01.027.058/0001-91",2021-01-01,105293,1,"ON",2716837748.39154
"24","01.083.200/0001-18",2021-01-01,104655,1,"ON",1213814337.64022
"25","01.104.937/0001-70",2021-01-01,105268,1,"ON",11761724.9846532
"26","01.107.327/0001-20",2021-01-01,105575,1,"ON",0
"27","01.258.944/0001-26",2021-01-01,105394,1,"ON",0
"28","01.319.044/0001-41",2021-01-01,103915,1,"ON",100
"29","01.417.222/0001-77",2021-01-01,105332,1,"ON",188332647.280653
"30","01.468.594/0001-22",2021-01-01,105542,3,"ON",0
"31","01.543.032/0001-04",2021-01-01,105886,3,"ON",283394444.444444
"32","01.545.826/0001-07",2021-01-01,105674,1,"ON",119999999.390905
"33","01.548.981/0001-79",2021-01-01,105863,2,"ON",792108.274866896
"34","01.599.101/0001-93",2021-01-01,105860,5,"ON",137534174.291709
"35","01.616.929/0001-02",2021-01-01,105289,1,"ON",0
"36","01.838.723/0001-27",2021-01-01,105935,2,"ON",812473249.00942
"37","01.851.771/0001-55",2021-01-01,104991,1,"ON",0
"38","01.896.779/0001-38",2021-01-01,105110,1,"ON",41793464.09727
"39","01.917.818/0001-36",2021-01-01,105142,1,"ON",0
"40","01.938.783/0001-11",2021-01-01,105992,2,"ON",6425383.55850698
"41","01.957.772/0001-89",2021-01-01,105881,2,"ON",0
"42","01.971.614/0001-83",2021-01-01,105993,2,"ON",1025402.63543192
"43","01.989.044/0001-59",2021-01-01,103950,1,"ON",1000
"44","02.016.440/0001-62",2021-01-01,104859,1,"ON",0
"45","02.062.747/0001-08",2021-01-01,104993,1,"ON",0
"46","02.105.040/0001-23",2021-04-01,105031,1,"ON",41649.0002363862
"47","02.105.040/0001-23",2021-12-31,100560,1,"ON",41649.0002363862
"48","02.149.205/0001-69",2021-01-01,105007,1,"ON",323293034.67522
"49","02.162.616/0001-94",2021-01-01,104696,1,"ON",0
"50","02.193.750/0001-52",2021-01-01,105919,2,"ON",31337826.733106
"51","02.201.787/0001-85",2021-01-01,105190,1,"ON",2609026.0902609
"52","02.217.319/0001-07",2021-01-01,105344,1,"ON",0
"53","02.221.531/0001-30",2021-01-01,105752,2,"ON",0
"54","02.281.836/0001-37",2021-01-01,104982,1,"ON",0
"55","02.286.479/0001-08",2021-01-01,105646,1,"ON",0
"56","02.291.077/0001-93",2021-01-01,103648,2,"ON",1e+05
"57","02.302.100/0001-06",2021-01-01,105894,2,"ON",39091735037
"58","02.302.101/0001-42",2021-01-01,105379,1,"ON",14705093.8337802
"59","02.318.346/0001-68",2021-01-01,104994,1,"ON",0
"60","02.328.280/0001-97",2021-01-01,104719,2,"ON",91881325.5873434
"61","02.351.144/0001-18",2021-01-01,105357,1,"ON",66002846.2411055
"62","02.351.877/0001-52",2021-01-01,104933,1,"ON",585461772.457593
"63","02.357.251/0001-53",2021-01-01,105175,1,"ON",0
"64","02.365.069/0001-44",2021-01-01,103209,1,"ON",78448304.8561151
"65","02.382.073/0001-10",2021-01-01,105833,2,"ON",0
"66","02.387.241/0001-60",2021-01-01,105799,2,"ON",1854592196.12628
"67","02.397.080/0001-96",2021-01-01,104715,2,"ON",0
"68","02.415.408/0001-50",2021-01-01,105091,1,"ON",0
"69","02.421.421/0001-11",2021-01-01,105747,2,"ON",2420804416.33154
"70","02.429.144/0001-93",2021-01-01,104864,1,"ON",1152440380.6016
"71","02.451.848/0001-62",2021-01-01,104992,1,"ON",0
"72","02.474.103/0001-19",2021-01-01,105229,1,"ON",815927749.644071
"73","02.502.844/0001-66",2021-01-01,105683,1,"ON",0
"74","02.509.186/0001-34",2021-01-01,105758,1,"ON",610000
"75","02.509.491/0001-26",2021-01-01,105947,2,"ON",0
"76","02.558.157/0001-62",2021-01-01,105925,2,"ON",2070100498.9508
"77","02.635.522/0001-95",2021-03-31,104794,8,"ON",295886167.635659
"78","02.643.896/0001-52",2021-01-01,105291,1,"ON",0
"79","02.664.042/0001-52",2021-01-01,104907,1,"ON",0
"80","02.682.287/0001-02",2021-01-01,105657,1,"ON",11000
"81","02.724.983/0001-34",2021-01-01,105061,1,"ON",0
"82","02.762.113/0001-50",2021-01-01,105702,2,"ON",0
"83","02.762.121/0001-04",2021-01-01,105905,2,"ON",862478382.281615
"84","02.762.124/0001-30",2021-01-01,104995,1,"ON",1
"85","02.773.542/0001-22",2021-01-01,105407,2,"ON",0
"86","02.783.423/0001-50",2021-01-01,105727,1,"ON",36218984
"87","02.796.775/0001-40",2021-01-01,104999,1,"ON",0
"88","02.800.026/0001-40",2021-01-01,105274,1,"ON",1876606212.83487
"89","02.846.056/0001-97",2021-01-01,105822,2,"ON",2020000009.41477
"90","02.860.694/0001-62",2021-01-01,105647,1,"ON",67412629.995763
"91","02.916.265/0001-60",2021-01-01,105565,1,"ON",2511135763.69713
"92","02.919.555/0001-67",2021-01-01,104959,1,"ON",0
"93","02.932.074/0001-91",2021-01-01,105378,1,"ON",632570443.932412
"94","02.950.811/0001-89",2021-01-01,106024,3,"ON",56133457
"95","02.992.449/0001-09",2021-01-01,105000,1,"ON",0
"96","02.998.301/0001-81",2021-01-01,104778,1,"ON",31599574.4680851
"97","02.998.611/0001-04",2021-01-01,105116,1,"ON",257937726.872646
"98","03.014.553/0001-91",2021-01-01,105460,1,"ON",176000000.094831
"99","03.025.305/0001-46",2021-01-01,105759,1,"ON",74220000
"100","03.207.703/0001-83",2021-01-01,105206,2,"ON",0
"101","03.220.438/0001-73",2021-01-01,105832,2,"ON",1010511085
"102","03.303.999/0001-36",2021-01-01,104554,1,"ON",10680685.8008904
"103","03.342.704/0001-30",2021-01-01,105809,7,"ON",248323629.640071
"104","03.378.521/0001-75",2021-01-01,105145,1,"ON",372555324
"105","03.467.321/0001-99",2021-01-01,105583,1,"ON",75572310.3448276
"106","03.538.833/0001-07",2021-01-01,105004,1,"ON",0
"107","03.758.318/0001-24",2021-01-01,105967,2,"ON",143057124
"108","03.767.538/0001-14",2021-01-01,105667,2,"ON",0
"109","03.795.050/0001-09",2021-01-01,105906,2,"ON",0
"110","03.818.379/0001-30",2021-01-01,105277,1,"ON",0
"111","03.847.461/0001-92",2021-01-01,105964,2,"ON",122171176.243558
"112","03.853.896/0001-40",2021-01-01,104787,1,"ON",711369912.751505
"113","03.953.509/0001-47",2021-01-01,104865,1,"ON",0
"114","03.983.431/0001-03",2021-01-01,105246,1,"ON",606850388.951119
"115","04.030.182/0001-02",2021-01-01,103691,1,"ON",2458000
"116","04.031.213/0001-31",2021-01-01,103696,1,"ON",703211
"117","04.032.433/0001-80",2021-01-01,105668,1,"ON",24788845.6613809
"118","04.038.763/0001-82",2021-01-01,103707,2,"ON",0
"119","04.065.791/0001-99",2021-01-01,105070,1,"ON",70549406.3386944
"120","04.069.709/0001-02",2021-01-01,105797,2,"ON",132452493.540052
"121","04.089.570/0001-50",2021-01-01,104911,1,"ON",0
"122","04.128.563/0001-10",2021-01-01,105316,1,"ON",0
"123","04.149.454/0001-80",2021-01-01,105882,6,"ON",558693500.356056
"124","04.172.213/0001-51",2021-01-01,104860,1,"ON",0
"125","04.200.649/0001-07",2021-01-01,104736,2,"ON",820000
"126","04.233.319/0001-18",2021-01-01,105136,1,"ON",0
"127","04.370.282/0001-70",2021-01-01,105272,1,"ON",0
"128","04.423.567/0001-21",2021-01-01,105475,1,"ON",1265254083.1442
"129","04.437.534/0001-30",2021-01-01,105546,1,"ON",0
"130","04.739.720/0001-24",2021-01-01,105240,1,"ON",0
"131","04.752.991/0001-10",2021-01-01,105878,3,"ON",67716246.8209653
"132","04.821.041/0001-08",2021-01-01,105642,1,"ON",4106476.7063922
"133","04.895.728/0001-80",2021-01-01,105601,1,"ON",2209148524.09639
"134","04.902.979/0001-44",2021-01-01,105353,1,"ON",29698357.1428571
"135","04.912.242/0001-02",2021-01-01,104814,1,"ON",29888.0226998262
"136","04.913.711/0001-08",2021-01-01,105811,4,"ON",9522918.61552853
"137","04.986.320/0001-13",2021-01-01,105421,1,"ON",128733728.974177
"138","04.992.714/0001-84",2021-01-01,105140,1,"ON",0
"139","05.197.443/0001-38",2021-01-01,105764,7,"ON",3891569720.53567
"140","05.336.882/0001-84",2021-01-01,105071,1,"ON",76281111
"141","05.721.735/0001-28",2021-01-01,106044,7,"ON",72736308.6936309
"142","05.730.375/0001-20",2021-01-01,105959,2,"ON",124158952.022665
"143","05.799.312/0001-20",2021-01-01,105526,1,"ON",21787091.0028201
"144","05.878.397/0001-32",2021-01-01,106003,2,"ON",265772780.743491
"145","05.889.284/0001-32",2021-01-01,104949,1,"ON",0
"146","05.917.486/0001-40",2021-01-01,104526,2,"ON",0
"147","06.016.348/0001-53",2021-01-01,105221,1,"ON",0
"148","06.047.087/0001-39",2021-01-01,105825,4,"ON",2010380354.55626
"149","06.057.223/0001-71",2021-01-01,106016,2,"ON",269681889.937534
"150","06.164.253/0001-87",2021-01-01,105743,2,"ON",0
"151","06.272.793/0001-84",2021-01-01,105599,1,"ON",161303708.381171
"152","06.347.409/0001-65",2021-01-01,105629,1,"ON",0
"153","06.626.253/0001-51",2021-01-01,105473,1,"ON",443778677.462888
"154","06.948.969/0001-75",2021-01-01,105044,1,"ON",187121110.841914
"155","06.977.745/0001-91",2021-01-01,105093,1,"ON",873144936.925003
"156","06.977.751/0001-49",2021-01-01,104786,1,"ON",491510029.735421
"157","06.981.176/0001-58",2021-01-01,105398,2,"ON",0
"158","06.981.180/0001-16",2021-01-01,105387,2,"ON",0
"159","06.981.381/0001-13",2021-03-31,99839,3,"ON",0
"160","07.040.108/0001-57",2021-01-01,104751,1,"ON",183559805.60812
"161","07.043.628/0001-13",2021-01-01,105295,1,"ON",0
"162","07.047.251/0001-70",2021-01-01,105880,2,"ON",48067928.7571777
"163","07.119.838/0001-48",2021-01-01,105330,1,"ON",0
"164","07.206.816/0001-15",2021-01-01,105725,2,"ON",338999997.309822
"165","07.237.373/0001-20",2021-01-01,106025,3,"ON",86510845.0704225
"166","07.253.321/0001-47",2021-01-01,105092,1,"ON",221428.571428571
"167","07.275.159/0001-68",2021-01-01,104187,1,"ON",496425.170772097
"168","07.282.377/0001-20",2021-01-01,106035,2,"ON",97466.6666666667
"169","07.334.600/0001-35",2021-01-01,104809,1,"ON",0
"170","07.401.436/0001-31",2021-01-01,105515,1,"ON",1525558419
"171","07.415.333/0001-20",2021-01-01,105386,1,"ON",206510203.119333
"172","07.437.016/0001-05",2021-01-01,105320,1,"ON",0
"173","07.526.557/0001-00",2021-01-01,105981,2,"ON",15739433730.5887
"174","07.587.384/0001-30",2021-01-01,104687,1,"ON",0
"175","07.594.978/0001-78",2021-01-01,104588,1,"ON",0
"176","07.628.528/0001-59",2021-06-30,104837,8,"ON",82104053.5397107
"177","07.659.538/0001-51",2021-01-01,104828,2,"ON",334424444
"178","07.689.002/0001-89",2021-01-01,105292,1,"ON",740467132.719098
"179","07.718.269/0001-57",2021-01-01,104765,1,"ON",49995395.2870549
"180","07.816.890/0001-53",2021-01-01,103262,1,"ON",565365775.34586
"181","07.820.907/0001-46",2021-01-01,104876,1,"ON",2422151.76064831
"182","07.857.093/0001-14",2021-01-01,105802,2,"ON",70750305.2359709
"183","07.857.850/0001-50",2021-01-01,105634,1,"ON",0
"184","07.859.510/0001-68",2021-01-01,105273,1,"ON",0
"185","07.859.971/0001-30",2021-01-01,105744,2,"ON",590714064.811063
"186","07.882.930/0001-65",2021-01-01,105434,1,"ON",105773620.436527
"187","07.976.147/0001-60",2021-01-01,104724,4,"ON",0
"188","08.065.557/0001-12",2021-01-01,105577,1,"ON",73619230.0799209
"189","08.070.508/0001-78",2021-03-31,105885,3,"ON",0
"190","08.078.847/0001-09",2021-01-01,105250,1,"ON",147554630.929959
"191","08.159.965/0001-33",2021-01-01,105930,2,"ON",268734034
"192","08.294.224/0001-65",2021-01-01,105076,1,"ON",689024355.740717
"193","08.312.229/0001-73",2021-01-01,105405,1,"ON",226998695.438502
"194","08.324.196/0001-81",2021-01-01,104718,2,"ON",12975424310.8015
"195","08.343.492/0001-20",2021-01-01,105932,2,"ON",482875032.235813
"196","08.364.948/0001-38",2021-01-01,105789,7,"ON",596851587.893864
"197","08.402.943/0001-52",2021-01-01,105429,1,"ON",499200003.314407
"198","08.424.178/0001-71",2021-01-01,105171,1,"ON",120673.782521681
"199","08.439.659/0001-50",2021-01-01,104863,1,"ON",0
"200","08.467.115/0001-00",2021-01-01,105755,2,"ON",9516464.70766434
"201","08.493.364/0001-62",2021-03-31,97988,1,"ON",1258415911
"202","08.534.605/0001-74",2021-01-01,105375,1,"ON",50855824.9421524
"203","08.560.444/0001-93",2021-01-01,105859,2,"ON",77829000
"204","08.574.411/0001-00",2021-01-01,105288,1,"ON",0
"205","08.613.550/0001-98",2021-01-01,105693,1,"ON",78531955.3038852
"206","08.764.621/0001-53",2021-01-01,106038,2,"ON",1928768.99697596
"207","08.769.451/0001-08",2021-01-01,105023,3,"ON",0
"208","08.769.451/0001-08",2021-12-31,101031,3,"ON",0
"209","08.773.135/0001-00",2021-01-01,105841,3,"ON",113548476.190476
"210","08.773.191/0001-36",2021-01-01,105324,1,"ON",0
"211","08.795.211/0001-70",2021-01-01,105502,1,"ON",0
"212","08.797.760/0001-83",2021-01-01,104929,1,"ON",29187118123.1431
"213","08.801.621/0001-86",2021-01-01,105843,2,"ON",152645901.136015
"214","08.807.432/0001-10",2021-01-01,105403,1,"ON",309088886.149041
"215","08.811.643/0001-27",2021-01-01,105033,1,"ON",186617095.320313
"216","08.822.767/0001-08",2021-01-01,105760,1,"ON",0
"217","08.827.501/0001-58",2021-01-01,104914,1,"ON",691876937.598322
"218","08.873.873/0001-10",2021-01-01,105952,2,"ON",0
"219","08.902.291/0001-15",2021-01-01,104884,1,"ON",5591150641.17296
"220","08.926.302/0001-05",2021-01-01,105957,2,"ON",310093071.42649
"221","08.935.054/0001-50",2021-01-01,105557,1,"ON",7877739.94479077
"222","08.937.002/0001-13",2021-01-01,104847,1,"ON",1293000
"223","09.041.168/0001-10",2021-01-01,103397,5,"ON",102158424.231964
"224","09.042.817/0001-05",2021-01-01,106007,2,"ON",90909419.0858523
"225","09.053.134/0001-45",2021-01-01,104729,1,"ON",481266211.847225
"226","09.054.385/0001-44",2021-01-01,105069,1,"ON",13919845.6449835
"227","09.074.183/0001-64",2021-01-01,105252,1,"ON",428071225
"228","09.083.175/0001-84",2021-01-01,105167,1,"ON",126508660.447761
"229","09.095.183/0001-40",2021-01-01,105998,2,"ON",0
"230","09.112.685/0001-32",2021-01-01,105651,1,"ON",3148038.01784918
"231","09.114.805/0001-30",2021-01-01,105566,1,"ON",199959555.563779
"232","09.116.278/0001-01",2021-01-01,105084,1,"ON",18122506.4499484
"233","09.146.451/0001-06",2021-01-01,104771,3,"ON",0
"234","09.149.503/0001-06",2021-01-01,105088,1,"ON",196227233.663108
"235","09.229.201/0001-30",2021-01-01,104510,3,"ON",667514508.75065
"236","09.257.877/0001-37",2021-01-01,104812,1,"ON",0
"237","09.288.252/0001-32",2021-01-01,105417,1,"ON",403868806.191717
"238","09.295.063/0001-97",2021-01-01,105555,1,"ON",78506214.7709877
"239","09.304.427/0001-58",2021-01-01,105341,1,"ON",9e+05
"240","09.305.994/0001-29",2021-01-01,104952,1,"ON",928964909.090909
"241","09.313.969/0001-97",2021-01-01,104969,1,"ON",0
"242","09.324.949/0001-11",2021-01-01,104945,1,"ON",0
"243","09.325.109/0001-73",2021-01-01,104966,1,"ON",0
"244","09.326.342/0001-70",2021-01-01,104963,1,"ON",0
"245","09.336.431/0001-06",2021-01-01,104965,1,"ON",0
"246","09.346.601/0001-25",2021-01-01,105817,3,"ON",6125999998.54899
"247","09.347.516/0001-81",2021-01-01,105783,2,"ON",138073339.471568
"248","09.391.823/0001-60",2021-01-01,105436,1,"ON",0
"249","09.414.761/0001-64",2021-01-01,105618,1,"ON",0
"250","09.611.768/0001-76",2021-01-01,105845,2,"ON",0
"251","09.625.321/0001-56",2021-01-01,105552,1,"ON",0
"252","09.813.204/0001-16",2021-01-01,104739,3,"ON",0
"253","10.139.870/0001-08",2021-01-01,105349,1,"ON",238662333.966426
"254","10.215.988/0001-60",2021-01-01,105537,1,"ON",508721213.245172
"255","10.234.027/0001-00",2021-01-01,105985,3,"ON",0
