"";"CD_CVM";"DENOM_SOCIAL";"DENOM_COMERC";"SETOR_ATIV";"PF_PJ";"CNPJ";"DT_REG";"DT_CONST";"DT_CANCEL";"MOTIVO_CANCEL";"SIT_REG";"DT_INI_SIT";"SIT_EMISSOR";"DT_INI_SIT_EMISSOR";"CATEG_REG";"DT_INI_CATEG";"AUDITOR";"CNPJ_AUDITOR";"TP_ENDER";"LOGRADOURO";"COMPL";"BAIRRO";"CIDADE";"UF";"PAIS";"CD_POSTAL";"TEL";"FAX";"EMAIL";"TP_RESP";"RESP";"DT_INI_RESP";"LOGRADOURO_RESP";"COMPL_RESP";"BAIRRO_RESP";"CIDADE_RESP";"UF_RESP";"PAIS_RESP";"CEP_RESP";"TEL_RESP";"FAX_RESP";"EMAIL_RESP";"TP_MERC";"cnpj_number"
"1";25224;"2W ENERGIA S.A.";NA;"Construção Civil, Mat. Constr. e Decoração";"PJ";"8773135000100";"29/10/2020";"23/03/2007";NA;NA;"ATIVO";"29/10/2020";"FASE OPERACIONAL";"16/07/2020";"Categoria A";"29/10/2020";"ERNST & YOUNG AUDITORES INDEPENDENTES S/S";61366936000125;"SEDE";"AV. ROQUE PETRONI JUNIOR";"Nº 1.089, SALA 1.101";"JARDIM DAS ACáCIAS";"SÃO PAULO";"SP";NA;NA;"(11) 39579400";"(11) 39579499";"ri@2wenergia.com.br";"DIRETOR DE RELAÇÕES COM INVESTIDORES";"EDUARDO MASSON DE ANDRADE MARTINS";"15/10/2020";"AV. ROQUE PETRONI JUNIOR, 1.08";"SALA 1.101";"JARDIM DAS ACÁCIAS";"SÃO PAULO";"SP";NA;4707000;"(11) 39579400";"(11) 39579499";"ri@2wenergia.com.br";NA;8773135000100
"2";25291;"3R PETROLEUM OLÉO E GÁS S.A.";NA;"Petróleo e Gás";"PJ";"12091809000155";"09/11/2020";"08/06/2010";NA;NA;"ATIVO";"09/11/2020";"FASE OPERACIONAL";"31/08/2020";"Categoria A";"31/08/2020";"KPMG AUDITORES INDEPENDENTES";57755217000129;"SEDE";"RUA VISCONDE DE OURO PRETO, 5";"SALA 601";"BOTAFOGO";"RIO DE JANEIRO";"RJ";NA;NA;"(21) 21455555";NA;NA;"DIRETOR DE RELAÇÕES COM INVESTIDORES";"RODRIGO PIZARRO LAVALLE DA SILVA";"13/08/2020";"RUA VISCONDE DE OURO PRETO";"5, SL 601";"BOTAFOGO";"RIO DE JANEIRO";"RJ";NA;22250180;"(21) 21455555";"(0) 0";"ri@3rpetroleum.com.br";NA;12091809000155
"3";16330;"521 PARTICIPAÇOES S.A. - EM LIQUIDAÇÃO EXTRAJUDICIAL";"521 PARTICIPAÇÕES S/A";"Emp. Adm. Part. - Energia Elétrica";"PJ";"1547749000116";"11/07/1997";"30/07/1996";NA;NA;"ATIVO";"11/07/1997";"LIQUIDAÇÃO EXTRAJUDICIAL";"30/04/2015";"Categoria B";"28/04/2011";"GRANT THORNTON AUDITORES INDEPENDENTES";10830108000165;"SEDE";"RUA DA ASSEMBLEIA, Nº 10, 37º ANDAR";"3701";"CENTRO";"RIO DE JANEIRO";"RJ";"BRASIL";NA;"(21) 25560809";"(21) 25560809";"eximia@eximiacapital.com";"DIRETOR DE RELAÇÕES COM INVESTIDORES";"CARLOS EDUARDO REICH DE SAMPAIO";"08/08/2018";"RUA DA ASSEMBLEIA, Nº 10, 37º";"3701";"CENTRO";"RIO DE JANEIRO";"RJ";NA;20011901;"(21) 21285501";"() 0";"governance@eximiacapital.com";"BALCÃO ORGANIZADO";1547749000116
"4";16284;"524 PARTICIPAÇOES SA";"524 PARTICIPACOES SA";"Emp. Adm. Part. - Sem Setor Principal";"PJ";"1851771000155";"30/05/1997";"02/04/1997";NA;NA;"ATIVO";"30/05/1997";"FASE OPERACIONAL";"30/05/1997";"Categoria A";"01/01/2010";"GRANT THORNTON AUDITORES INDEPENDENTES";10830108000165;"SEDE";"Av. Presidente Wilson, nº 231";"28º andar (pte)";"Centro";"RIO DE JANEIRO";"RJ";"BRASIL";NA;"(21) 38043700";"(21) 38043480";"gar@opportunity.com.br.";"DIRETOR DE RELAÇÕES COM INVESTIDORES";"MARIA AMALIA DELFIM DE MELO COUTRIM";"02/09/2009";"AV. PRESIDENTE WILSON, 231";"28º ANDAR (PARTE)";"CENTRO";"RIO DE JANEIRO";"RJ";NA;20030021;"(21) 38043700";"(21) 38043480";"gar@opportunity.com.br";"BALCÃO ORGANIZADO";1851771000155
"5";21725;"ADVANCED DIGITAL HEALTH MEDICINA PREVENTIVA S.A.";"HUB COSMÉTICOS S.A.";"Farmacêutico e Higiene";"PJ";"10345009000198";"24/06/2009";"18/08/2008";NA;NA;"ATIVO";"24/06/2009";"FASE PRÉ-OPERACIONAL";"24/06/2009";"Categoria A";"01/01/2010";"BDO RCS AUDITORES INDEPENDENTES - SOCIEDADE SIMPLES";54276936000179;"SEDE";"Av. Das Nações Unidas, 8501";"17º andar";"Pinheiros";"SÃO PAULO";"SP";"BRASIL";NA;"(11) 34346548";"(11) 34346548";"dri@advanced-dh.com";"DIRETOR DE RELAÇÕES COM INVESTIDORES";"THAISE SAETER";"17/01/2019";"AV. DAS NAÇÕES UNIDAS, 8501";NA;"PINHEIROS";"SÃO PAULO";"SP";NA;5425070;"(11) 34346548";"(0) 0";"dri@advanced-dh.com";"BOLSA";10345009000198
"6";23396;"AEGEA SANEAMENTO E PARTICIPAÇÕES S.A.";"AEGEA SANEAMENTO E PARTICIPAÇÕES S.A.";"Saneamento, Serv. Água e Gás";"PJ";"8827501000158";"21/05/2014";"26/03/2007";NA;NA;"ATIVO";"21/05/2014";"FASE OPERACIONAL";"11/03/2014";"Categoria B";"21/05/2014";"KPMG AUDITORES INDEPENDENTES";57755217000129;"SEDE";"Avenida Brigadeiro Faria Lima, nº 1.744";"7º andar, Cj 71,sl 1";"Jardim Paulistano";"SÃO PAULO";"SP";"BRASIL";NA;"(11) 38188150";"(11) 38188166";"ri@aegea.com.br";"DIRETOR DE RELAÇÕES COM INVESTIDORES";"ANDRÉ PIRES DE OLIVEIRA DIAS";"21/02/2014";"AV. BRIGADEIRO FARIA LIMA";"1.744/7º AND/SL 1";"JARDIM PAULISTANO";"SÃO PAULO";"SP";NA;1452001;"(11) 38188150";"(11) 38188166";"ri@aegea.com.br";NA;8827501000158
"7";25283;"AERIS IND. E COM. DE EQUIP. PARA GER. DE ENG. S.A.";NA;"Máquinas, Equipamentos, Veículos e Peças";"PJ";"12528708000107";"09/11/2020";"17/08/2020";NA;NA;"ATIVO";"09/11/2020";"FASE OPERACIONAL";"17/08/2010";"Categoria A";"09/11/2020";"PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES";61562112000120;"SEDE";"RODOVIA CE - 155";"KM 2";"CIPP";"CAUCAIA";"CE";NA;NA;"(85) 34572200";"(85) 34572200";"ri@aerisenergy.com.br";"DIRETOR DE RELAÇÕES COM INVESTIDORES";"BRUNO LOLLI";"19/08/2020";"AV. JOSÉ DE SOUZA CAMPOS, 1321";"12º ANDAR";"NOVA CAMPINAS";"CAMPINAS";"SP";NA;13025320;"(19) 37022209";"(19) 37022209";"ri@aerisenergy.com.br";NA;12528708000107
"8";25640;"AES Brasil Energia S/A";"AES BRASIL ENERGIA S.A.";"Energia Elétrica";"PJ";"37663076000107";"18/03/2021";"20/03/2020";NA;NA;"ATIVO";"18/03/2021";"FASE OPERACIONAL";"18/12/2020";"Categoria A";"18/03/2021";"GRANT THORNTON AUDITORES INDEPENDENTES";10830108000165;"SEDE";"AV. LUIZ CARLOS BERRINI, 1.376";"12º ANDAR TORRE A";"BROOKLIN PAULISTA";"SÃO PAULO";"SP";NA;NA;"(011) 41974925";NA;"ri.aestiete@aes.com";"DIRETOR DE RELAÇÕES COM INVESTIDORES";"CLARISSA DELLA NINA SADOCK ACCORSI";"23/11/2020";"AV. LUIZ CARLOS BERRINI, 1.376";"12º ANDAR TORRE A";"BROOKLIN PAULISTA";"SÃO PAULO";"SP";NA;4571936;"(11) 41974925";"(0) 0";"ri.aestiete@aes.com";NA;37663076000107
"9";18970;"AES TIETÊ ENERGIA S.A";"CIA BRASILIANA DE ENERGIA";"Emp. Adm. Part. - Energia Elétrica";"PJ";"4128563000110";"29/06/2001";"06/11/2000";NA;NA;"ATIVO";"29/06/2001";"FASE OPERACIONAL";"01/10/2002";"Categoria A";"01/01/2010";"ERNST & YOUNG AUDITORES INDEPENDENTES S/S";61366936000125;"SEDE";"AV. NAçõES UNIDAS, 12.495";"12º ANDAR";"BROOKLIN PAULISTA";"SÃO PAULO";"SP";"BRASIL";NA;"(11) 21957048";"(011) 21952155";"ciabrasiliana@aes.com";"DIRETOR DE RELAÇÕES COM INVESTIDORES";"CLARISSA DELLA NINA SADOCK ACCORSI";"01/10/2017";"AV. NAÇÕES UNIDAS, 12.495";"12º ANDAR";"BROOKLIN PAULISTA";"SÃO PAULO";"SP";NA;4578000;"(11) 41974925";"(11) 41974925";"ri.aestiete@aes.com";"BALCÃO NÃO ORGANIZADO";4128563000110
"10";22179;"AFLUENTE TRANSMISSÃO DE ENERGIA ELETRICA S/A";"AFLUENTE TRANSMISSÃO DE ENERGIA ELETRICA S/A";"Energia Elétrica";"PJ";"10338320000100";"24/09/2010";"18/08/2008";NA;NA;"ATIVO";"24/09/2010";"FASE OPERACIONAL";"24/09/2010";"Categoria A";"24/09/2010";"KPMG AUDITORES INDEPENDENTES";57755217000129;"SEDE";"Praia do Flamengo, 78";"10º andar";"Flamengo";"RIO DE JANEIRO";"RJ";"BRASIL";NA;"(21) 32359824";"(21) 32359876";"ri.afluente@neoenergia.com";"DIRETOR DE RELAÇÕES COM INVESTIDORES";"LEONARDO PIMENTA GADELHA";"22/04/2019";"PRAIA DO FLAMENGO, 78";"10º ANDAR";"FLAMENGO";"RIO DE JANEIRO";"RJ";NA;22210030;"(21) 3235980";"(021) 3235987";"ri@neoenergia.com";"BOLSA";10338320000100
