CNPJ_CIA;DENOM_CIA;DT_REFER;CD_CVM;ID_DOC;VERSAO;stock.type;stock.class;qtd.issued
00.000.000/0001-91;BCO BRASIL S.A.;2010-01-01;1023;9670;11;ON;0;2860729247
00.000.000/0001-91;BCO BRASIL S.A.;2010-01-01;1023;9670;11;PN;0;0
00.000.000/0001-91;BCO BRASIL S.A.;2011-01-01;1023;18230;16;ON;0;2855869551
00.000.000/0001-91;BCO BRASIL S.A.;2011-01-01;1023;18230;16;PN;0;0
00.000.000/0001-91;BCO BRASIL S.A.;2012-01-01;1023;28060;19;ON;0;2865417020
00.000.000/0001-91;BCO BRASIL S.A.;2012-01-01;1023;28060;19;PN;0;0
00.000.000/0001-91;BCO BRASIL S.A.;2013-01-01;1023;38199;19;ON;0;2865417020
00.000.000/0001-91;BCO BRASIL S.A.;2013-01-01;1023;38199;19;PN;0;0
00.000.000/0001-91;BCO BRASIL S.A.;2014-01-01;1023;47685;24;ON;0;2865417020
00.000.000/0001-91;BCO BRASIL S.A.;2014-01-01;1023;47685;24;PN;0;0
00.000.000/0001-91;BCO BRASIL S.A.;2015-01-01;1023;56835;28;ON;0;2865417020
00.000.000/0001-91;BCO BRASIL S.A.;2015-01-01;1023;56835;28;PN;0;0
00.000.000/0001-91;BCO BRASIL S.A.;2016-01-01;1023;65849;26;ON;0;2865417020
00.000.000/0001-91;BCO BRASIL S.A.;2016-01-01;1023;65849;26;PN;0;0
00.000.000/0001-91;BCO BRASIL S.A.;2017-01-01;1023;74927;24;ON;0;2865417020
00.000.000/0001-91;BCO BRASIL S.A.;2017-01-01;1023;74927;24;PN;0;0
00.000.000/0001-91;BCO BRASIL S.A.;2018-01-01;1023;82919;28;ON;0;2865417020
00.000.000/0001-91;BCO BRASIL S.A.;2018-01-01;1023;82919;28;PN;0;0
00.000.000/0001-91;BCO BRASIL S.A.;2019-01-01;1023;93456;23;ON;0;2865417020
00.000.000/0001-91;BCO BRASIL S.A.;2019-01-01;1023;93456;23;PN;0;0
61.079.117/0001-05;ALPARGATAS S.A.;2010-01-01;10456;5470;4;ON;0;181524080
61.079.117/0001-05;ALPARGATAS S.A.;2010-01-01;10456;5470;4;PN;0;171931800
61.079.117/0001-05;ALPARGATAS S.A.;2011-01-01;10456;16951;8;ON;0;199676488
61.079.117/0001-05;ALPARGATAS S.A.;2011-01-01;10456;16951;8;PN;0;189124980
61.079.117/0001-05;ALPARGATAS S.A.;2012-01-01;10456;26509;6;ON;0;219644137
61.079.117/0001-05;ALPARGATAS S.A.;2012-01-01;10456;26509;6;PN;0;208037478
61.079.117/0001-05;ALPARGATAS S.A.;2013-01-01;10456;36880;7;ON;0;241608551
61.079.117/0001-05;ALPARGATAS S.A.;2013-01-01;10456;36880;7;PN;0;228841226
61.079.117/0001-05;ALPARGATAS S.A.;2014-01-01;10456;47062;7;ON;0;241608551
61.079.117/0001-05;ALPARGATAS S.A.;2014-01-01;10456;47062;7;PN;0;228841226
61.079.117/0001-05;ALPARGATAS S.A.;2015-01-01;10456;56032;16;ON;0;241608551
61.079.117/0001-05;ALPARGATAS S.A.;2015-01-01;10456;56032;16;PN;0;228841226
61.079.117/0001-05;ALPARGATAS S.A.;2016-01-01;10456;65988;19;ON;0;241608551
61.079.117/0001-05;ALPARGATAS S.A.;2016-01-01;10456;65988;19;PN;0;228841226
61.079.117/0001-05;ALPARGATAS S.A.;2017-01-01;10456;74598;21;ON;0;241608551
61.079.117/0001-05;ALPARGATAS S.A.;2017-01-01;10456;74598;21;PN;0;228841226
61.079.117/0001-05;ALPARGATAS S.A.;2018-01-01;10456;82237;10;ON;0;241608551
61.079.117/0001-05;ALPARGATAS S.A.;2018-01-01;10456;82237;10;PN;0;228841226
61.079.117/0001-05;ALPARGATAS S.A.;2019-01-01;10456;93241;15;ON;0;302010689
61.079.117/0001-05;ALPARGATAS S.A.;2019-01-01;10456;93241;15;PN;0;286051533
61.079.117/0001-05;ALPARGATAS S.A.;2020-01-01;10456;93890;2;ON;0;302010689
61.079.117/0001-05;ALPARGATAS S.A.;2020-01-01;10456;93890;2;PN;0;286051533
60.500.139/0001-26;SARAIVA LIVREIROS S.A. - EM RECUPERA;2010-01-01;10472;7103;4;ON;0;9622313
60.500.139/0001-26;SARAIVA LIVREIROS S.A. - EM RECUPERA;2010-01-01;10472;7103;4;PN;0;18973810
60.500.139/0001-26;SARAIVA LIVREIROS S.A. - EM RECUPERA;2011-01-01;10472;17044;15;ON;0;9622313
60.500.139/0001-26;SARAIVA LIVREIROS S.A. - EM RECUPERA;2011-01-01;10472;17044;15;PN;0;18973810
60.500.139/0001-26;SARAIVA LIVREIROS S.A. - EM RECUPERA;2012-01-01;10472;28196;7;ON;0;9622313
60.500.139/0001-26;SARAIVA LIVREIROS S.A. - EM RECUPERA;2012-01-01;10472;28196;7;PN;0;18973810
60.500.139/0001-26;SARAIVA LIVREIROS S.A. - EM RECUPERA;2013-01-01;10472;37547;16;ON;0;9622313
60.500.139/0001-26;SARAIVA LIVREIROS S.A. - EM RECUPERA;2013-01-01;10472;37547;16;PN;0;18973810
60.500.139/0001-26;SARAIVA LIVREIROS S.A. - EM RECUPERA;2014-01-01;10472;47582;19;ON;0;9622313
60.500.139/0001-26;SARAIVA LIVREIROS S.A. - EM RECUPERA;2014-01-01;10472;47582;19;PN;0;18973810
60.500.139/0001-26;SARAIVA LIVREIROS S.A. - EM RECUPERA;2015-01-01;10472;56676;16;ON;0;9622313
60.500.139/0001-26;SARAIVA LIVREIROS S.A. - EM RECUPERA;2015-01-01;10472;56676;16;PN;0;17079432
60.500.139/0001-26;SARAIVA LIVREIROS S.A. - EM RECUPERA;2016-01-01;10472;65143;13;ON;0;9622313
