CNPJ_CIA;DENOM_CIA;DT_REFER;CD_CVM;ID_DOC;VERSAO;stock.type;stock.class;qtd.issue
00.000.000/0001-91;BCO BRASIL S.A.;2021-01-01;1023;105911;2;ON;0;2865417926.37418
00.000.000/0001-91;BCO BRASIL S.A.;2021-01-01;1023;105911;2;PN;0;0
00.000.208/0001-00;BRB BCO DE BRASILIA S.A.;2021-01-01;14206;105792;2;ON;0;279949523.809524
00.000.208/0001-00;BRB BCO DE BRASILIA S.A.;2021-01-01;14206;105792;2;PN;0;82717142.8571429
00.001.180/0001-26;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2021-01-01;2437;105907;2;ON;0;1288842580.69816
00.001.180/0001-26;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2021-01-01;2437;105907;2;PN;0;280079308.597035
00.070.698/0001-11;CIA ENERGETICA DE BRASILIA;2021-01-01;14451;105826;2;ON;0;7184178.46879241
00.070.698/0001-11;CIA ENERGETICA DE BRASILIA;2021-01-01;14451;105826;2;PN;0;7232205.05777019
00.192.769/0001-59;NEUMARKT TRADE AND FINANCIAL CENTER S/A;2021-01-01;14613;105168;1;ON;0;0
00.192.769/0001-59;NEUMARKT TRADE AND FINANCIAL CENTER S/A;2021-01-01;14613;105168;1;PN;0;0
00.272.185/0001-93;CIMS S.A.;2021-01-01;14818;105336;1;ON;0;0
00.272.185/0001-93;CIMS S.A.;2021-01-01;14818;105336;1;PN;0;0
00.336.701/0001-04;TELEC BRASILEIRAS S.A. TELEBRAS;2021-01-01;11258;105072;1;ON;0;49460600.5750186
00.336.701/0001-04;TELEC BRASILEIRAS S.A. TELEBRAS;2021-01-01;11258;105072;1;PN;0;18407545.7919005
00.359.742/0001-08;ATOM EMPREENDIMENTOS E PARTICIPA;2021-01-01;15423;105315;1;ON;0;20898994.593029
00.359.742/0001-08;ATOM EMPREENDIMENTOS E PARTICIPA;2021-01-01;15423;105315;1;PN;0;0
00.383.281/0001-09;BNDES PARTICIPACOES S.A. - BNDESPAR;2021-01-01;16772;105723;2;ON;0;0
00.383.281/0001-09;BNDES PARTICIPACOES S.A. - BNDESPAR;2021-01-01;16772;105723;2;PN;0;0
00.389.481/0001-79;LM TRANSPORTES INTERESTADUAIS SERVI;2021-01-01;24880;105304;1;ON;0;0
00.389.481/0001-79;LM TRANSPORTES INTERESTADUAIS SERVI;2021-01-01;24880;105304;1;PN;0;0
00.416.968/0001-01;BANCO INTER S.A.;2021-01-01;24406;105939;2;ON;0;1468340572.03732
00.416.968/0001-01;BANCO INTER S.A.;2021-01-01;24406;105939;2;PN;0;1468333451.64795
00.545.378/0001-70;SERRA AZUL WATER PARK SA;2021-01-01;14966;105553;2;ON;0;29188116
00.545.378/0001-70;SERRA AZUL WATER PARK SA;2021-01-01;14966;105553;2;PN;0;0
00.622.416/0001-41;STATKRAFT ENERGIAS RENOVAVEIS S.A.;2021-01-01;22594;105128;1;ON;0;0
00.622.416/0001-41;STATKRAFT ENERGIAS RENOVAVEIS S.A.;2021-01-01;22594;105128;1;PN;0;0
00.644.907/0001-93;INVESTCO S.A.;2021-01-01;18589;105249;1;ON;0;786473019.163082
00.644.907/0001-93;INVESTCO S.A.;2021-01-01;18589;105249;1;PN;0;786336393.778142
00.743.065/0001-27;LITEL PARTICIPACOES S.A.;2021-01-01;15091;104808;1;ON;0;0
00.743.065/0001-27;LITEL PARTICIPACOES S.A.;2021-01-01;15091;104808;1;PN;0;0
00.776.574/0001-56;B2W - COMPANHIA DIGITAL;2021-01-01;20990;105519;1;ON;0;560085758.313518
00.776.574/0001-56;B2W - COMPANHIA DIGITAL;2021-01-01;20990;105519;1;PN;0;0
00.864.214/0001-06;ENERGISA S.A.;2021-01-01;15253;105578;1;ON;0;755945335.144928
00.864.214/0001-06;ENERGISA S.A.;2021-01-01;15253;105578;1;PN;0;1058543358.07444
00.897.864/0001-58;SANTA CATARINA PART INVEST SA;2021-01-01;15199;104591;2;ON;0;2e+05
00.897.864/0001-58;SANTA CATARINA PART INVEST SA;2021-01-01;15199;104591;2;PN;0;0
00.924.429/0001-75;FERROVIA CENTRO-ATLANTICA S.A.;2021-01-01;15369;105056;1;ON;0;129411764.705882
00.924.429/0001-75;FERROVIA CENTRO-ATLANTICA S.A.;2021-01-01;15369;105056;1;PN;0;18.99999962
00.938.574/0001-05;CONC RIO-TERESOPOLIS S.A.;2021-01-01;19208;105313;1;ON;0;48786
00.938.574/0001-05;CONC RIO-TERESOPOLIS S.A.;2021-01-01;19208;105313;1;PN;0;37680
00.974.211/0001-25;NA;2021-01-01;NA;105382;1;ON;0;0
00.974.211/0001-25;NA;2021-01-01;NA;105382;1;PN;0;0
00.979.969/0001-56;CAIXA ADM DIV PUB ESTADUAL SA;2021-01-01;15717;103284;1;ON;0;0
00.979.969/0001-56;CAIXA ADM DIV PUB ESTADUAL SA;2021-01-01;15717;103284;1;PN;0;0
01.027.058/0001-91;CIELO S.A.;2021-01-01;21733;105293;1;ON;0;2716837748.39154
01.027.058/0001-91;CIELO S.A.;2021-01-01;21733;105293;1;PN;0;0
01.083.200/0001-18;NEOENERGIA S.A.;2021-01-01;15539;104655;1;ON;0;1213814337.64022
01.083.200/0001-18;NEOENERGIA S.A.;2021-01-01;15539;104655;1;PN;0;0
01.104.937/0001-70;ELETROBR;2021-01-01;15784;105268;1;ON;0;11761724.9846532
01.104.937/0001-70;ELETROBR;2021-01-01;15784;105268;1;PN;0;0
01.107.327/0001-20;BBM LOG;2021-01-01;24660;105575;1;ON;0;0
01.107.327/0001-20;BBM LOG;2021-01-01;24660;105575;1;PN;0;0
01.258.944/0001-26;FERROVIA SUL-ATLANTICO S.A.;2021-01-01;15709;105394;1;ON;0;0
01.258.944/0001-26;FERROVIA SUL-ATLANTICO S.A.;2021-01-01;15709;105394;1;PN;0;0
01.319.044/0001-41;WTC AMAZONAS SUITE HOTEL S.A.;2021-01-01;15741;103915;1;ON;0;100
01.319.044/0001-41;WTC AMAZONAS SUITE HOTEL S.A.;2021-01-01;15741;103915;1;PN;0;0
01.417.222/0001-77;MRS LOGISTICA S.A.;2021-01-01;17949;105332;1;ON;0;188332647.280653
01.417.222/0001-77;MRS LOGISTICA S.A.;2021-01-01;17949;105332;1;PN;0;151667362.291536
01.468.594/0001-22;NA;2021-01-01;NA;105542;3;ON;0;0
01.468.594/0001-22;NA;2021-01-01;NA;105542;3;PN;0;0
01.543.032/0001-04;NA;2021-01-01;NA;105886;3;ON;0;283394444.444444
01.543.032/0001-04;NA;2021-01-01;NA;105886;3;PN;0;0
01.545.826/0001-07;GAFISA S.A.;2021-01-01;16101;105674;1;ON;0;119999999.390905
01.545.826/0001-07;GAFISA S.A.;2021-01-01;16101;105674;1;PN;0;0
01.548.981/0001-79;INVESTIMENTOS BEMGE S.A.;2021-01-01;6041;105863;2;ON;0;792108.274866896
01.548.981/0001-79;INVESTIMENTOS BEMGE S.A.;2021-01-01;6041;105863;2;PN;0;1571774.00330267
01.599.101/0001-93;NA;2021-01-01;NA;105860;5;ON;0;137534174.291709
01.599.101/0001-93;NA;2021-01-01;NA;105860;5;PN;0;0
01.616.929/0001-02;SANEAMENTO DE GOIAS SA;2021-01-01;19186;105289;1;ON;0;0
01.616.929/0001-02;SANEAMENTO DE GOIAS SA;2021-01-01;19186;105289;1;PN;0;0
01.838.723/0001-27;BRF S.A.;2021-01-01;16292;105935;2;ON;0;812473249.00942
01.838.723/0001-27;BRF S.A.;2021-01-01;16292;105935;2;PN;0;0
01.851.771/0001-55;524 PARTICIPACOES S.A.;2021-01-01;16284;104991;1;ON;0;0
