month;year;Rc
1;2010;0
2;2010;0
3;2010;0
4;2010;0
5;2010;0
6;2010;0
7;2010;0
8;2010;0
9;2010;0.0808499999999999
10;2010;0.0386547624554749
11;2010;-0.0255649679769827
12;2010;0.0118928999113288
1;2011;-0.0525051041610206
2;2011;0.0110505139108714
3;2011;0.0253769768297167
4;2011;-0.0137402052753558
5;2011;-0.0162442417799661
6;2011;-0.0099245469022522
7;2011;-0.0589952991412077
8;2011;-0.0246624680781792
9;2011;-0.0362705110417992
10;2011;0.089147706362436
11;2011;-0.0123332869551391
12;2011;0.0317565731880338
1;2012;0.0585739781737327
2;2012;0.055240780151645
3;2012;0.00543046473253628
4;2012;-0.0220908119936435
5;2012;-0.079952405054299
6;2012;0.0198334185864708
7;2012;0.0314475527122686
8;2012;-0.0101751520767771
9;2012;0.00734135444281714
10;2012;-0.0034322837109152
11;2012;0.0501380411999888
12;2012;0.0493532985729486
1;2013;0.016012535192385
2;2013;-0.0208568718815718
3;2013;-0.00390815828041047
4;2013;-0.0156855118296663
5;2013;-0.00561821883563696
6;2013;-0.0695532729173326
7;2013;0.00806855954392671
8;2013;0.0157776938593177
9;2013;0.0480486743317254
10;2013;0.0454651635621157
11;2013;-0.0246114632814181
12;2013;-0.0272602321319487
1;2014;-0.0701694708288633
2;2014;0.0167720390972366
3;2014;0.0675959923981031
4;2014;0.0316364359105088
5;2014;-0.0294265467155852
6;2014;0.0321656353295532
7;2014;0.0450015050670591
8;2014;0.0962969482628944
9;2014;-0.0957135454299958
10;2014;0.0373610763605841
11;2014;0.0303280219096229
12;2014;-0.0742376874631869
1;2015;-0.024788939190016
2;2015;0.0946000200742749
3;2015;-0.00869591796188474
4;2015;0.0700311420818944
5;2015;-0.0647417749058086
6;2015;0.00738681003805097
7;2015;-0.0111710058492945
8;2015;-0.074348148835483
9;2015;-0.0219365294171699
10;2015;-0.00731959379243774
11;2015;-0.0224476451052259
12;2015;-0.0340089951327707
1;2016;-0.0455841753756161
2;2016;0.0588448687350835
3;2016;0.1498818904737
4;2016;0.0469507127287552
5;2016;-0.0863052888576008
6;2016;0.0468680841297684
7;2016;0.105754776072659
8;2016;0.00822788843493116
9;2016;0.00149590207108696
10;2016;0.0816398086983352
11;2016;-0.058569539171702
12;2016;-0.0152055643550719
1;2017;0.0593837848421701
2;2017;0.0339881447450063
3;2017;-0.00173004858180703
4;2017;0.0196646458445247
5;2017;-0.043331012813035
6;2017;0.00304186497790715
7;2017;0.0401628736879256
8;2017;0.0618673302041508
9;2017;0.0597006976620333
10;2017;-0.00701354686679845
11;2017;-0.0514716633113268
12;2017;0.0491424235058366
1;2018;0.133921406855709
2;2018;-0.0183742730276436
3;2018;0.0180328368211033
4;2018;-0.0208302165305247
5;2018;-0.124090267839408
6;2018;-0.0605114429249232
7;2018;0.0820661356504948
8;2018;-0.0374291482924094
9;2018;0.0150927251876192
10;2018;0.125010975631172
11;2018;0.0500809099376134
12;2018;-0.0108862616072225
1;2019;0.132603936538471
2;2019;-0.0298248019567687
3;2019;-0.0180857465898315
4;2019;0.0109203861136518
5;2019;0.0162954865911293
6;2019;0.0343867641011042
7;2019;-0.00669328836189198
8;2019;-0.000321085179939673
9;2019;0.0325544150192933
10;2019;0.0347366626896199
11;2019;-0.00105010871713784
12;2019;0.0639508279845162
1;2020;-0.017428028982138
2;2020;-0.0662047698665572
3;2020;-0.311186935976318
4;2020;0.106435415938644
5;2020;0.0744317741059655
6;2020;0.0916882835586132
7;2020;0.0893162514290031
8;2020;-0.0526251881019805
9;2020;-0.0558917503593368
10;2020;-0.0193020053527792
11;2020;0.151151695531154
12;2020;0.0902164576533242
1;2021;-0.0453385123263712
2;2021;-0.0578945848137097
3;2021;0.0571160761606082
4;2021;-0.00277608588463907
5;2021;0.053656975947016
6;2021;0.0015733996868974
