CNPJ;DENOM_SOCIAL;ticker_principal;ticker_secundario;ticker_terciario
8773135000100;2W ENERGIA S.A.;;;
12091809000155;3R PETROLEUM OLÉO E GÁS S.A.;RRRP3;;
1851771000155;524 PARTICIPAÇOES SA;QVQP3B;;
10345009000198;ADVANCED DIGITAL HEALTH MEDICINA PREVENTIVA S.A.;ADHM1;ADHM3;
12528708000107;AERIS IND. E COM. DE EQUIP. PARA GER. DE ENG. S.A.;AERI3;;
37663076000107;AES Brasil Energia S/A;;;
4128563000110;AES TIETÊ ENERGIA S.A;TIET11;TIET3;TIET4
10338320000100;AFLUENTE TRANSMISSÃO DE ENERGIA ELETRICA S/A;AFLT3;;
21240146000184;AGROGALAXY PARTICIPAÇÕES S.A;;;
2217319000107;ALEF SA;ALEF3B;;
17167396000169;ALFA HOLDINGS SA;RPAD3;RPAD5;RPAD6
5878397000132;ALIANSCE SONAE SHOPPING CENTERS S.A.;ALSO3;;
20247322000147;ALLIED TECNOLOGIA S.A.;;;
60537263000166;ALLPARK EMPREENDIMENTOS, PARTICIPAÇÕES E SERVIÇOS S.A.;ALPK3;;
61079117000105;ALPARGATAS SA;ALPA3;ALPA4;
11721921000160;ALPER CONSULTORIA E CORRETORA DE SEGUROS S.A.;APER3;;
16811931000100;ALPHAVILLE S.A.;AVLL3;;
8364948000138;ALUPAR INVESTIMENTO S/A;ALUP11;ALUP3;ALUP4
7526557000100;AMBEV S.A.;ABEV3;;
12648266000124;AMBIPAR PARTICIPAÇÕES E EMPREENDIMENTOS S.A.;AMBP3;;
33050071000158;AMPLA ENERGIA E SERVIÇOS S.A.;CBEE3;;
9288252000132;ANIMA HOLDING S/A;ANIM3;;
16590234000176;AREZZO INDÚSTRIA E COMERCIO S/A;ARZZ3;;
75315333000109;ATACADÃO S.A.;CRFB3;;
4032433000180;ATMA  PARTICIPAÇÕES  S.A.;LIQO3;;
359742000108;ATOM EMPREENDIMENTOS E PARTICIPAÇÕES S.A.;ATOM3;;
61351532000168;AZEVEDO & TRAVASSOS SA;AZEV3;;
9305994000129;AZUL S.A.;AZUL4;;
776574000156;B2W - COMPANHIA DIGITAL;BTOW3;;
9346601000125;B3 S.A. - BRASIL, BOLSA, BALCÃO;B3SA3;;
45987245000192;BAHEMA EDUCACAO S.A.;BAHI3;;
28195667000106;BANCO ABC BRASIL S/A;ABCB4;;
60770336000165;BANCO ALFA DE INVESTIMENTO S.A.;BRIV3;BRIV4;
61186680000174;BANCO BMG S/A;BMGB4;;
60746948000112;BANCO BRADESCO S.A.;BBDC3;BBDC4;
30306294000145;BANCO BTG PACTUAL S/A;BPAC11;BPAC3;BPAC5
4902979000144;BANCO DA AMAZÔNIA S.A.;BAZA3;;
191;BANCO DO BRASIL S.A.;BBAS11;BBAS12;BBAS3
13009717000146;BANCO DO ESTADO DE SERGIPE SA;BGIP3;BGIP4;
4913711000108;BANCO DO ESTADO DO PARÁ S/A.;BPAR3;;
92702067000196;BANCO DO ESTADO DO RIO GRANDE DO SUL SA;BRSR3;BRSR5;BRSR6
