"CNPJ_CIA","DT_REFER","ID_DOC","VERSAO","stock.type","qtd.issue","DENOM_CIA","CD_CVM","stock.class"
"00.000.000/0001-91",2021-01-01,105911,2,"ON",2865417926.37418,"BCO BRASIL S.A.",1023,0
"00.000.000/0001-91",2021-01-01,105911,2,"PN",0,"BCO BRASIL S.A.",1023,0
"00.000.208/0001-00",2021-01-01,105792,2,"ON",279949523.809524,"BRB BCO DE BRASILIA S.A.",14206,0
"00.000.208/0001-00",2021-01-01,105792,2,"PN",82717142.8571429,"BRB BCO DE BRASILIA S.A.",14206,0
"00.001.180/0001-26",2021-01-01,105907,2,"ON",1288842580.69816,"CENTRAIS ELET BRAS S.A. - ELETROBRAS",2437,0
"00.001.180/0001-26",2021-01-01,105907,2,"PN",280079308.597035,"CENTRAIS ELET BRAS S.A. - ELETROBRAS",2437,0
"00.070.698/0001-11",2021-01-01,105826,2,"ON",7184178.46879241,"CIA ENERGETICA DE BRASILIA",14451,0
"00.070.698/0001-11",2021-01-01,105826,2,"PN",7232205.05777019,"CIA ENERGETICA DE BRASILIA",14451,0
"00.192.769/0001-59",2021-01-01,105168,1,"ON",0,"NEUMARKT TRADE AND FINANCIAL CENTER S/A",14613,0
"00.192.769/0001-59",2021-01-01,105168,1,"PN",0,"NEUMARKT TRADE AND FINANCIAL CENTER S/A",14613,0
"00.272.185/0001-93",2021-01-01,105336,1,"ON",0,"CIMS S.A.",14818,0
"00.272.185/0001-93",2021-01-01,105336,1,"PN",0,"CIMS S.A.",14818,0
"00.336.701/0001-04",2021-01-01,105072,1,"ON",49460600.5750186,"TELEC BRASILEIRAS S.A. TELEBRAS",11258,0
"00.336.701/0001-04",2021-01-01,105072,1,"PN",18407545.7919005,"TELEC BRASILEIRAS S.A. TELEBRAS",11258,0
"00.359.742/0001-08",2021-01-01,105315,1,"ON",20898994.593029,"ATOM EMPREENDIMENTOS E PARTICIPAÃ‡Ã•ES S.A.",15423,0
"00.359.742/0001-08",2021-01-01,105315,1,"PN",0,"ATOM EMPREENDIMENTOS E PARTICIPAÃ‡Ã•ES S.A.",15423,0
"00.383.281/0001-09",2021-01-01,105723,2,"ON",0,"BNDES PARTICIPACOES S.A. - BNDESPAR",16772,0
"00.383.281/0001-09",2021-01-01,105723,2,"PN",0,"BNDES PARTICIPACOES S.A. - BNDESPAR",16772,0
