"dataPreco";"Ticker_PN_YAHOO";"Ticker_ON_YAHOO";"CD_CVM";"CNPJ_CIA";"DT_REFER";"ON";"PN";"DENOM_SOCIAL";"DT_REG";"Ticker_ON";"Ticker_PN";"Ticker_UN";"preco.x";"preco.y";"valorDeMercado"
2010-06-25;"ABCB4.SA";"NA.SA";20958;"28.195.667/0001-06";2010-01-01;0;0;"BANCO ABC BRASIL S/A";2007-07-23;NA;"ABCB4";NA;0;5,760161;0
2010-06-25;"ABCB4.SA";"NA.SA";20958;"28.195.667/0001-06";2010-01-01;0;0;"BANCO ABC BRASIL S/A";2007-07-23;NA;"ABCB4";NA;0;5,336871;0
2010-06-25;"ADHM3.SA";"ADHM1.SA";21725;"10.345.009/0001-98";2010-01-01;80359734;0;"ADVANCED DIGITAL HEALTH MEDICINA PREVENTIVA S.A.";2009-06-24;"ADHM1";"ADHM3";NA;0;273,747742;0
2010-06-25;"ALPA4.SA";"ALPA3.SA";10456;"61.079.117/0001-05";2010-01-01;181524080;171931800;"ALPARGATAS SA";1977-07-20;"ALPA3";"ALPA4";NA;3,663264;3,248073;1223417664,81852
2010-06-25;"ALUP4.SA";"ALUP3.SA";21490;"08.364.948/0001-38";2010-01-01;163910000;0;"ALUPAR INVESTIMENTO S/A";2008-06-18;"ALUP3";"ALUP4";"ALUP11";0;0;0
2010-06-25;"APTI4.SA";"APTI3.SA";12823;"61.156.931/0001-78";2010-01-01;62500;123455;"SIDERURGICA J L ALIPERTI SA";1986-06-06;"APTI3";"APTI4";NA;0;0;0
2010-06-25;"BALM4.SA";"BALM3.SA";1562;"61.374.161/0001-30";2010-01-01;490000;490000;"BAUMER SA";1970-05-20;"BALM3";"BALM4";NA;0;2,881037;1411708,13
2010-06-25;"BAUH4.SA";"BAUH3.SA";1570;"95.426.862/0001-97";2010-01-01;2846929;2375293;"EXCELSIOR ALIMENTOS SA.";1977-07-20;"BAUH3";"BAUH4";NA;0;2,862612;6799542,245316
2010-06-25;"BBDC4.SA";"BBDC3.SA";906;"60.746.948/0001-12";2010-01-01;1912397390;1912397191;"BANCO BRADESCO S.A.";1977-07-20;"BBDC3";"BBDC4";NA;7,781113;8,878544;31859882798,265
2010-06-25;"BBDC4.SA";"BBDC3.SA";906;"60.746.948/0001-12";2010-01-01;1912397390;1912397191;"BANCO BRADESCO S.A.";1977-07-20;"BBDC3";"BBDC4";NA;7,781113;8,893081;31887683316,2305
2010-06-25;"BEES4.SA";"BEES3.SA";1155;"28.127.603/0001-78";2010-01-01;109305235;42183218;"BANESTES SA BANCO DO ESTADO DO ESPIRITO SANTO";1977-07-20;"BEES3";"BEES4";NA;1,810237;1,601293;265416072,391569
2010-06-25;"BGIP4.SA";"BGIP3.SA";1120;"13.009.717/0001-46";2010-01-01;5270721;5270721;"BANCO DO ESTADO DE SERGIPE SA";1977-07-20;"BGIP3";"BGIP4";NA;0;6,583977;34702305,837417
2010-06-25;"BMEB4.SA";"BMEB3.SA";1325;"17.184.037/0001-10";2010-01-01;26262082;9137918;"BANCO MERCANTIL BRASIL SA";1977-07-20;"BMEB3";"BMEB4";NA;10,172016;4,498848;308248422,415776
2010-06-25;"BMIN4.SA";"BMIN3.SA";1309;"34.169.557/0001-72";2010-01-01;111505680;71014320;"BANCO MERCANTIL DE INVESTIMENTOS S.A.";1977-07-20;"BMIN3";"BMIN4";NA;0;28,072901;1993577974,94232
2010-06-25;"BOBR4.SA";"BOBR3.SA";12190;"50.564.053/0001-03";2010-01-01;2e+07;34064588;"BOMBRIL SA";1984-09-26;"BOBR3";"BOBR4";NA;0;7,99;272176058,12
2010-06-25;"BPAN4.SA";"NA.SA";21199;"59.285.411/0001-13";2010-01-01;131881028;112462912;"BANCO PAN SA";2007-11-12;NA;"BPAN4";NA;0;8,230873;925667945,882176
2010-06-25;"BPAN4.SA";"NA.SA";21199;"59.285.411/0001-13";2010-01-01;131881028;112462912;"BANCO PAN SA";2007-11-12;NA;"BPAN4";NA;0;8,14774;916318566,61888
2010-06-25;"BRAP4.SA";"BRAP3.SA";18724;"03.847.461/0001-92";2010-01-01;122523049;227024896;"BRADESPAR S/A";2000-08-07;"BRAP3";"BRAP4";NA;20,580259;21,542685;7412281903,57545
2010-06-25;"BRAP4.SA";"BRAP3.SA";18724;"03.847.461/0001-92";2010-01-01;122523049;227024896;"BRADESPAR S/A";2000-08-07;"BRAP3";"BRAP4";NA;20,580259;21,950134;7504782970,42575
2010-06-25;"BRGE11.SA";"BRGE3.SA";4707;"17.193.806/0001-46";2010-01-01;40394932;33251456;"CONSORCIO ALFA DE ADMINISTRAÇÃO SA";1977-07-20;"BRGE3";"BRGE11";"BRGE12";6,071853;2,692854;334813405,34442
2010-06-25;"BRIV4.SA";"BRIV3.SA";1384;"60.770.336/0001-65";2010-01-01;0;0;"BANCO ALFA DE INVESTIMENTO S.A.";1977-07-20;"BRIV3";"BRIV4";NA;7,045713;2,857281;0
2010-06-25;"BRKM5.SA";"BRKM3.SA";4820;"42.150.391/0001-70";2010-01-01;451669063;349996554;"BRASKEM S.A.";1978-12-18;"BRKM3";"BRKM5";"BRKM6";6,564735;7,956223;5749738339,14885
2010-06-25;"BRKM5.SA";"BRKM3.SA";4820;"42.150.391/0001-70";2010-01-01;451669063;349996554;"BRASKEM S.A.";1978-12-18;"BRKM3";"BRKM5";"BRKM6";6,564735;8,249526;5852393378,42671
2010-06-25;"BRSR5.SA";"BRSR3.SA";1210;"92.702.067/0001-96";2010-01-01;205043374;203931103;"BANCO DO ESTADO DO RIO GRANDE DO SUL SA";1977-07-20;"BRSR3";"BRSR5";"BRSR6";7,043854;7,568682;2987785258,63964
